sales_id,invoice_number,date,employee,payment_type,product_code,category,product,platform,qty,unit_price,total,Precio de Costo,Total COGS,Ganancia Neta,product_id
14864,10280,2023-06-05,Fausto,Efectivo,987456321397,Tramites,Domicilio,,1,1000,1000,0.0,0.0,1000.0,394.0
14982,10363,2023-06-06,Fausto,Efectivo,987456321397,Tramites,Domicilio,,1,1000,1000,0.0,0.0,1000.0,394.0
15155,10482,2023-06-09,Fausto,Efectivo,987456321397,Tramites,Domicilio,,1,1000,1000,0.0,0.0,1000.0,394.0
15159,10483,2023-06-09,Fausto,Efectivo,987456321397,Tramites,Domicilio,,1,1000,1000,0.0,0.0,1000.0,394.0
15362,10629,2023-06-12,Fausto,Efectivo,987456321397,Tramites,Domicilio,,1,1000,1000,0.0,0.0,1000.0,394.0
15412,10663,2023-06-13,Fausto,Efectivo,987456321397,Tramites,Domicilio,,2,1000,2000,0.0,0.0,2000.0,394.0
15466,10698,2023-06-14,Fausto,Efectivo,987456321397,Tramites,Domicilio,,2,1000,2000,0.0,0.0,2000.0,394.0
15477,10705,2023-06-14,Fausto,Efectivo,987456321397,Tramites,Domicilio,,2,1000,2000,0.0,0.0,2000.0,394.0
15607,10786,2023-06-16,Fausto,Efectivo,987456321397,Tramites,Domicilio,,1,1000,1000,0.0,0.0,1000.0,394.0
15692,10844,2023-06-17,Marisa y Kuky,Efectivo,987456321397,Tramites,Domicilio,,2,1000,2000,0.0,0.0,2000.0,394.0
15881,10984,2023-06-21,Fausto,Efectivo,987456321397,Tramites,Domicilio,,1,1000,1000,0.0,0.0,1000.0,394.0
15885,10987,2023-06-21,Fausto,Efectivo,987456321397,Tramites,Domicilio,,1,1000,1000,0.0,0.0,1000.0,394.0
15939,11027,2023-06-22,Fausto,Efectivo,987456321397,Tramites,Domicilio,,1,1000,1000,0.0,0.0,1000.0,394.0
15941,11029,2023-06-22,Fausto,Efectivo,987456321397,Tramites,Domicilio,,1,1000,1000,0.0,0.0,1000.0,394.0
15984,11062,2023-06-23,Marisa y Kuky,Efectivo,987456321397,Tramites,Domicilio,,1,1000,1000,0.0,0.0,1000.0,394.0
15988,11064,2023-06-23,Marisa y Kuky,Efectivo,987456321397,Tramites,Domicilio,,1,1000,1000,0.0,0.0,1000.0,394.0
16171,11198,2023-06-26,Marisa y Kuky,Efectivo,987456321397,Tramites,Domicilio,,1,1000,1000,0.0,0.0,1000.0,394.0
16176,11202,2023-06-26,Fausto,Efectivo,987456321397,Tramites,Domicilio,,2,1000,2000,0.0,0.0,2000.0,394.0
16217,11228,2023-06-27,Marisa y Kuky,Efectivo,987456321397,Tramites,Domicilio,,2,1000,2000,0.0,0.0,2000.0,394.0
16388,11351,2023-06-30,Fausto,Efectivo,987456321397,Tramites,Domicilio,,1,1000,1000,0.0,0.0,1000.0,394.0
16628,11524,2023-07-03,Marisa y Kuky,Efectivo,987456321397,Tramites,Domicilio,,1,1000,1000,0.0,0.0,1000.0,394.0
16658,11545,2023-07-04,Fausto,Efectivo,987456321397,Tramites,Domicilio,,1,900,900,0.0,0.0,900.0,394.0
16747,11605,2023-07-05,Marisa y Kuky,Efectivo,987456321397,Tramites,Domicilio,,1,1000,1000,0.0,0.0,1000.0,394.0
17078,11837,2023-07-10,Fausto,Efectivo,987456321397,Tramites,Domicilio,,1,1000,1000,0.0,0.0,1000.0,394.0
17130,11871,2023-07-11,Fausto,Efectivo,987456321397,Tramites,Domicilio,,1,1000,1000,0.0,0.0,1000.0,394.0
17140,11878,2023-07-11,Fausto,Efectivo,987456321397,Tramites,Domicilio,,1,1000,1000,0.0,0.0,1000.0,394.0
