sales_id,invoice_number,date,employee,payment_type,platform,qty,total,product_id
19851,13736,2023-08-29,Marisa y Kuky,Efectivo, ,3,3000.0,394
19952,13805,2023-08-31,Fausto,Efectivo, ,1,1000.0,394
19968,13817,2023-08-31,Fausto,Efectivo, ,1,1000.0,394
19985,13827,2023-08-31,Marisa y Kuky,Efectivo, ,2,2000.0,394
20003,13837,2023-08-31,Marisa y Kuky,Efectivo, ,1,1000.0,394
20016,13847,2023-09-01,Marisa y Kuky,Efectivo, ,1,1000.0,394
20017,13847,2023-09-01,Marisa y Kuky,Efectivo, ,1,1000.0,394
20018,13847,2023-09-01,Marisa y Kuky,Efectivo, ,1,1000.0,394
20020,13849,2023-09-01,Fausto,Efectivo, ,1,1000.0,394
20021,13850,2023-09-01,Fausto,Efectivo, ,2,2000.0,394
20185,13966,2023-09-04,Fausto,Efectivo, ,1,1000.0,394
20223,13997,2023-09-05,Fausto,Efectivo, ,1,1000.0,394
20288,14039,2023-09-06,Fausto,Efectivo, ,1,1000.0,394
20347,14081,2023-09-07,Marisa y Kuky,Efectivo, ,1,1000.0,394
20382,14108,2023-09-07,Marisa y Kuky,Efectivo, ,1,1000.0,394
20403,14125,2023-09-08,Fausto,Efectivo, ,1,1000.0,394
20567,14255,2023-09-11,Marisa y Kuky,Efectivo, ,1,1000.0,394
20648,14309,2023-09-12,Marisa y Kuky,Efectivo, ,1,1000.0,394
20654,14312,2023-09-12,Marisa y Kuky,Efectivo, ,1,1000.0,394
20655,14313,2023-09-12,Marisa y Kuky,Efectivo, ,1,1000.0,394
20692,14339,2023-09-13,Marisa y Kuky,Efectivo, ,1,1000.0,394
20802,14424,2023-09-15,Marisa y Kuky,Efectivo, ,1,1000.0,394
20804,14426,2023-09-15,Fausto,Efectivo, ,1,1000.0,394
21000,14560,2023-09-18,Fausto,Efectivo, ,1,1000.0,394
21018,14576,2023-09-18,Marisa y Kuky,Efectivo, ,3,3000.0,394
21039,14591,2023-09-19,Marisa y Kuky,Efectivo, ,1,1000.0,394
21041,14593,2023-09-19,Marisa y Kuky,Efectivo, ,1,1000.0,394
21047,14600,2023-09-19,Marisa y Kuky,Efectivo, ,2,2000.0,394
21068,14615,2023-09-19,Marisa y Kuky,Efectivo, ,1,1000.0,394
21139,14663,2023-09-21,Marisa y Kuky,Efectivo, ,4,4000.0,394
21143,14665,2023-09-21,Marisa y Kuky,Efectivo, ,1,1000.0,394
21197,14705,2023-09-22,Fausto,Efectivo, ,1,1000.0,394
21473,14911,2023-09-27,Marisa y Kuky,Efectivo, ,2,2000.0,394
21554,14966,2023-09-29,Fausto,Efectivo, ,1,1000.0,394
21696,15068,2023-10-02,Fausto,Efectivo, ,1,1000.0,394
21721,15083,2023-10-02,Marisa y Kuky,Efectivo, ,1,1000.0,394
21786,15128,2023-10-03,Fausto,Mercado Pago, ,1,1000.0,394
21835,15161,2023-10-03,Marisa y Kuky,Efectivo, ,1,1000.0,394
21851,15170,2023-10-04,Marisa y Kuky,Efectivo, ,1,1000.0,394
21977,15255,2023-10-06,Marisa y Kuky,Efectivo, ,1,1000.0,394
22056,15315,2023-10-07,Marisa y Kuky,Efectivo, ,1,1000.0,394
22121,15361,2023-10-09,Marisa y Kuky,Efectivo, ,1,1000.0,394
22174,15393,2023-10-10,Marisa y Kuky,Efectivo, ,2,2000.0,394
22177,15395,2023-10-10,Marisa y Kuky,Efectivo, ,1,1000.0,394
22183,15401,2023-10-10,Fausto,Mercado Pago, ,1,1000.0,394
22198,15410,2023-10-10,Marisa y Kuky,Efectivo, ,1,1000.0,394
22235,15434,2023-10-11,Fausto,Efectivo, ,1,1000.0,394
22328,15503,2023-10-12,Marisa y Kuky,Efectivo, ,1,1000.0,394
22572,15687,2023-10-17,Marisa y Kuky,Efectivo, ,2,2000.0,394
22586,15699,2023-10-17,Fausto,Efectivo, ,1,1000.0,394
22601,15707,2023-10-18,Marisa y Kuky,Efectivo, ,1,1000.0,394
22602,15708,2023-10-18,Marisa y Kuky,Efectivo, ,1,1000.0,394
22658,15753,2023-10-20,Marisa y Kuky,Efectivo, ,1,700.0,394
22856,15899,2023-10-23,Marisa y Kuky,Efectivo, ,2,2000.0,394
22930,15950,2023-10-25,Marisa y Kuky,Efectivo, ,1,1000.0,394
23103,16071,2023-10-29,Marisa y Kuky,Efectivo, ,1,1000.0,394
23338,16247,2023-11-03,Marisa y Kuky,Efectivo, ,1,1000.0,394
23340,16249,2023-11-03,Marisa y Kuky,Efectivo, ,3,3000.0,394
23514,16375,2023-11-06,Fausto,Efectivo, ,1,1000.0,394
23515,16376,2023-11-06,Fausto,Efectivo, ,1,1000.0,394
23574,16413,2023-11-08,Marisa y Kuky,Efectivo, ,1,1000.0,394
23577,16415,2023-11-08,Marisa y Kuky,Efectivo, ,1,1000.0,394
23633,16456,2023-11-09,Marisa y Kuky,Efectivo, ,2,2000.0,394
23652,16472,2023-11-09,Fausto,Efectivo, ,1,1000.0,394
23874,16641,2023-11-14,Marisa y Kuky,Efectivo, ,1,1000.0,394
23879,16646,2023-11-14,Marisa y Kuky,Efectivo, ,2,2000.0,394
23885,16649,2023-11-14,Marisa y Kuky,Efectivo, ,1,1000.0,394
23905,16664,2023-11-15,Marisa y Kuky,Efectivo, ,1,1000.0,394
24031,16736,2023-11-17,Fausto,Efectivo, ,1,1000.0,394
24077,16771,2023-11-18,Adriana,Efectivo, ,1,1000.0,394
24220,16879,2023-11-22,Marisa y Kuky,Efectivo, ,1,1000.0,394
24256,16903,2023-11-23,Marisa y Kuky,Efectivo, ,1,1000.0,394
24257,16904,2023-11-23,Marisa y Kuky,Efectivo, ,1,1000.0,394
24264,16908,2023-11-23,Marisa y Kuky,Efectivo, ,1,1000.0,394
24340,16964,2023-11-24,Fausto,Efectivo, ,2,2000.0,394
24349,16972,2023-11-24,Fausto,Efectivo, ,1,1000.0,394
24607,17142,2023-11-28,Marisa y Kuky,Efectivo, ,1,1000.0,394
24613,17146,2023-11-28,Marisa y Kuky,Efectivo, ,1,1000.0,394
24614,17146,2023-11-28,Marisa y Kuky,Efectivo, ,1,1000.0,394
24640,17166,2023-11-28,Fausto,Efectivo, ,1,1000.0,394
24647,17170,2023-11-28,Fausto,Efectivo, ,1,1000.0,394
24661,17181,2023-11-29,Marisa y Kuky,Efectivo, ,2,2000.0,394
24704,17211,2023-11-30,Marisa y Kuky,Efectivo, ,1,1000.0,394
24717,17222,2023-11-30,Marisa y Kuky,Efectivo, ,1,1000.0,394
24919,17370,2023-12-04,Marisa y Kuky,Efectivo, ,1,1000.0,394
24923,17373,2023-12-04,Marisa y Kuky,Efectivo, ,1,1000.0,394
24971,17408,2023-12-05,Marisa y Kuky,Efectivo, ,1,1000.0,394
24983,17415,2023-12-05,Marisa y Kuky,Efectivo, ,1,1000.0,394
25035,17455,2023-12-06,Marisa y Kuky,Efectivo, ,1,1100.0,394
25048,17462,2023-12-06,Marisa y Kuky,Efectivo, ,1,1100.0,394
25049,17462,2023-12-06,Marisa y Kuky,Efectivo, ,1,1100.0,394
25050,17462,2023-12-06,Marisa y Kuky,Efectivo, ,1,1100.0,394
25051,17462,2023-12-06,Marisa y Kuky,Efectivo, ,1,1100.0,394
25104,17493,2023-12-07,Marisa y Kuky,Efectivo, ,1,1100.0,394
25107,17495,2023-12-07,Marisa y Kuky,Efectivo, ,1,1100.0,394
25123,17506,2023-12-07,Marisa y Kuky,Efectivo, ,1,1100.0,394
25333,17668,2023-12-11,Marisa y Kuky,Efectivo, ,1,1100.0,394
25341,17670,2023-12-11,Marisa y Kuky,Efectivo, ,1,1100.0,394
25344,17673,2023-12-11,Marisa y Kuky,Efectivo, ,1,1100.0,394
25515,17791,2023-12-14,Fausto,Efectivo, ,1,1100.0,394
25566,17827,2023-12-15,Fausto,Efectivo, ,1,1100.0,394
25792,17992,2023-12-18,Marisa y Kuky,Efectivo, ,1,1100.0,394
25932,18092,2023-12-20,Marisa y Kuky,Efectivo, ,1,1100.0,394
26013,18147,2023-12-21,Marisa y Kuky,Efectivo, ,1,1100.0,394
26520,18516,2023-12-28,Marisa y Kuky,Efectivo, ,1,1200.0,394
26907,18811,2024-01-03,Marisa y Kuky,Efectivo, ,2,2400.0,394
26920,18821,2024-01-03,Fausto,Efectivo, ,1,1200.0,394
27019,18894,2024-01-05,Fausto,Efectivo, ,1,1200.0,394
27381,19162,2024-01-11,Marisa y Kuky,Efectivo, ,1,1200.0,394
27441,19203,2024-01-12,Fausto,Efectivo, ,1,1200.0,394
27743,19414,2024-01-18,Marisa y Kuky,Efectivo, ,1200,1200.0,394
